Rank,Name,Poss,Offense,Defense,Above Avg,Above Rep,off/100,Def/100,Ovr/100
322,Dan Majerle,20141.7,62.2,-18.9,40.8,443.6,0.31,-0.09,0.2
323,Keith Tower,141.2,-0.7,1,0.3,3.1,-0.51,0.71,0.19
324,Serge Ibaka,24754.5,-163.2,206.3,45.9,541,-0.66,0.83,0.19
325,C.J. Miles,21651,-11,52.9,39.8,472.8,-0.05,0.24,0.18
326,Eric Murdock,5256.1,-84.4,93.6,9.3,114.4,-1.61,1.78,0.18
327,Nenad Krstic,21429,-262.2,290.1,36.5,465.1,-1.22,1.35,0.17
328,Esteban Batista,1101.5,3.9,-2,1.8,23.9,0.35,-0.19,0.17
329,Jon Brockman,2976,26.8,-22.6,4.5,64,0.9,-0.76,0.15
330,Al-Farouq Aminu,14571.5,-226.5,247.8,21.2,312.6,-1.55,1.7,0.15
331,Dan Gadzuric,15072,-56.5,80,21.3,322.8,-0.38,0.53,0.14
332,Jae Crowder,6408,-32.7,41.8,9.1,137.2,-0.51,0.65,0.14
333,Stevin Smith,114.6,0.2,0,0.2,2.5,0.15,-0.01,0.14
334,Chris Childs,22538.6,-161.4,192.3,31.4,482.2,-0.72,0.85,0.14
335,Shavlik Randolph,1712,-5.3,8,2.4,36.6,-0.31,0.47,0.14
336,Joel Przybilla,21865,-347.5,381.7,30.1,467.4,-1.59,1.75,0.14
337,Aleksandar Djordjevic,118.2,-0.3,0.4,0.2,2.5,-0.23,0.36,0.13
338,Adonis Jordan,40,0.1,0,0.1,0.9,0.2,-0.07,0.13
339,Matt Maloney,15737.4,115.8,-95.9,19.8,334.5,0.74,-0.61,0.13
340,Jarron Collins,16473.5,-235.5,258,20.3,349.8,-1.43,1.57,0.12
341,Larry Krystkowiak,23.4,0,0,0,0.5,0.17,-0.07,0.11
342,Kelvin Cato,20681.7,-241.6,262,22,435.6,-1.17,1.27,0.11
343,Rasho Nesterovic,36116.1,-598.4,645.2,36.6,758.9,-1.66,1.79,0.1
344,Luis Flores,139,-0.1,0.1,0.1,2.9,-0.1,0.1,0.1
345,Chris Taft,274.5,0,0.3,0.3,5.8,0,0.1,0.1
346,Jerald Honeycutt,1281.8,2.7,-1.5,1.2,26.9,0.21,-0.12,0.1
347,Wally Szczerbiak,40850.9,233.8,-195.3,37.9,855,0.57,-0.48,0.09
348,David Lee,43753,589.5,-544.3,37.5,912.5,1.35,-1.24,0.09
349,Duane Ferrell,3127.9,-5.2,7.6,2.6,65.1,-0.17,0.24,0.08
350,Danny Schayes,2336.1,-0.7,2.6,1.9,48.6,-0.03,0.11,0.08
351,Jared Sullinger,7672,-53.3,53.4,6.1,159.5,-0.69,0.7,0.08
352,DeAndre Jordan,23646.5,78.8,-56.3,18.7,491.6,0.33,-0.24,0.08
353,Cedric Ceballos,10948.2,67.4,-58.8,8.6,227.6,0.62,-0.54,0.08
354,Andris Biedrins,23003,-212.1,236.7,17.7,477.7,-0.92,1.03,0.08
355,Matt Harpring,34944.7,318.9,-295.5,23.8,722.7,0.91,-0.85,0.07
356,John Wall,20889.5,101.7,-75.1,13,430.8,0.49,-0.36,0.06
357,Melvin Booker,836,-5.1,5.6,0.5,17.2,-0.61,0.67,0.06
358,David Wood,480.7,-2,2.3,0.3,9.9,-0.41,0.48,0.06
359,Jonathan Kerner,8.9,0,0,0,0.2,0.07,-0.01,0.06
360,Brian Grant,33734.5,-199,218.8,20,694.7,-0.59,0.65,0.06
361,Todd Day,7625.3,97.6,-93.2,4.5,157,1.28,-1.22,0.06
362,Greg Anthony,15482.5,-67.3,77.9,8.6,318.2,-0.43,0.5,0.06
363,Oliver Miller,8804.4,-49.8,54.7,4.8,180.9,-0.57,0.62,0.05
364,Greg Dreiling,726.1,-2.1,2.4,0.4,14.9,-0.29,0.33,0.05
365,Joe Smith,48706.9,-81.7,103.2,22.4,996.5,-0.17,0.21,0.05
366,Al Horford,31087.5,-30.1,42.6,13.8,635.5,-0.1,0.14,0.04
367,Antonio McDyess,53050.7,-221.1,244,22.6,1083.6,-0.42,0.46,0.04
368,Jason Terry,76844.4,822.8,-777.6,32,1568.9,1.07,-1.01,0.04
369,Jamal Mashburn,33980.2,0.9,14.3,14.1,693.7,0,0.04,0.04
370,Rick Mahorn,2061.7,-16.7,17.4,0.7,42,-0.81,0.85,0.04
371,Amare Stoudemire,52769,487.7,-477.6,17.3,1072.7,0.92,-0.9,0.03
372,Speedy Claxton,16795.5,-114.3,119.1,5.2,341.2,-0.68,0.71,0.03
373,Kelly McCarty,9.5,0,0,0,0.2,-0.17,0.2,0.03
374,Charles Jones,463.3,1.5,-1.4,0.1,9.4,0.32,-0.29,0.02
375,Eric Snow,47436.9,-533.6,563.2,11.3,960,-1.12,1.19,0.02
376,John Thomas,4455.3,-22.3,23,0.6,89.7,-0.5,0.52,0.01
377,Larry Sanders,8582,-210.6,213.2,1,172.6,-2.45,2.48,0.01
378,Grant Long,15908,-186.6,188.9,1.2,319.4,-1.17,1.19,0.01
379,Pervis Ellison,1756.7,-6.7,6.7,0,35.2,-0.38,0.38,0
380,Ian Clark,371,-3.7,3.7,0,7.4,-1,1,0
381,Maurice Carter,206,-0.4,0.4,0,4.1,-0.2,0.2,0
382,Earl Cureton,92.4,0,0,0,1.8,-0.05,0.05,0
383,JamesOn Curry,0,0,0,0,0,0,0,0
384,Ruben Garces,156,0,0,0,3.1,0,0,0
385,Ray McCallum,966,4.8,-5.8,0,19.3,0.5,-0.6,0
386,Thabo Sefolosha,29422,-581.4,595.1,-0.8,587.7,-1.98,2.02,0
387,Rex Chapman,12974.6,174.6,-174.8,-0.6,258.9,1.35,-1.35,0
388,Torraye Braggs,309,0.1,0.2,0,6.2,0.04,0.05,0
389,Kevin Salvadori,492.5,1.1,-1.2,0,9.8,0.23,-0.24,-0.01
390,Ersan Ilyasova,20414,93.7,-92.5,-2.1,406.2,0.46,-0.45,-0.01
391,Othella Harrington,27014.4,-177.1,175.6,-3.3,537,-0.66,0.65,-0.01
392,Bill Walker,4897.5,-3.9,5,-0.7,97.3,-0.08,0.1,-0.01
393,Nikola Pekovic,13747,21.4,-17.8,-2.6,272.3,0.16,-0.13,-0.02
394,Jorge Garbajosa,3796,-101.4,101.1,-1,74.9,-2.67,2.66,-0.03
395,Tony Dumas,644.5,-0.6,0.5,-0.2,12.7,-0.1,0.07,-0.03
396,Benoit Benjamin,564.7,-1.6,1.4,-0.2,11.1,-0.28,0.25,-0.03
397,Lawrence Roberts,2198.5,-6.6,7.7,-0.8,43.2,-0.3,0.35,-0.03
398,Clifford Robinson,53230.7,-13.6,2,-20.7,1043.9,-0.03,0,-0.04
399,Mark Baker,4,0,0,0,0.1,-0.04,0,-0.04
400,Trevor Winter,8.9,0,0,0,0.2,0.02,-0.06,-0.04
401,Rumeal Robinson,1027.4,2.1,-2.5,-0.4,20.1,0.2,-0.24,-0.04
402,Travis Knight,9299.9,-8.2,4.5,-3.8,182.2,-0.09,0.05,-0.04
403,Isaiah Rider,21149.2,284.9,-295.5,-10.1,412.8,1.35,-1.4,-0.05
404,Martin Lewis,107.9,-0.2,0.2,-0.1,2.1,-0.2,0.16,-0.05
405,Bobby Simmons,22029.5,-88.5,84.5,-11.1,429.5,-0.4,0.38,-0.05
406,Sean Lampley,1005,-8.1,7.5,-0.5,19.6,-0.81,0.74,-0.05
407,Rodney Rogers,34590.4,200.7,-220.6,-20.5,671.3,0.58,-0.64,-0.06
408,Peter Aluma,13.3,0,0,0,0.3,-0.13,0.07,-0.06
409,Ruben Nembhard,219.4,-1.1,1,-0.1,4.3,-0.52,0.46,-0.06
410,Jerome James,9433,-143,137.9,-5.9,182.8,-1.52,1.46,-0.06
411,Jake Tsakalidis,9684,-117.1,111.1,-6.2,187.5,-1.21,1.15,-0.06
412,Richard Manning,438,-0.3,0,-0.3,8.5,-0.06,-0.01,-0.07
413,Todd MacCulloch,7756.8,-39.5,34.1,-5.5,149.6,-0.51,0.44,-0.07
414,Scott Padgett,10999.5,-17.9,9.9,-8.1,211.9,-0.16,0.09,-0.07
415,Derrick Dial,1276.1,-3.5,2.4,-1,24.6,-0.28,0.19,-0.07
416,Adrian Griffin,16645.1,-28.6,12.6,-13,319.9,-0.17,0.08,-0.08
417,Brent Barry,44744.9,230.3,-264.4,-35.3,859.6,0.51,-0.59,-0.08
418,Emanual Davis,7608.5,-21.5,19.4,-6.2,146,-0.28,0.25,-0.08
419,Delonte West,25511.5,-307.7,292.7,-20.7,489.5,-1.21,1.15,-0.08
420,Zaza Pachulia,30542.5,-192.2,174.7,-25.9,585,-0.63,0.57,-0.08
421,Udonis Haslem,42184,-323.6,285.1,-36.4,807.3,-0.77,0.68,-0.09
422,Reggie Jackson,9352,-116.5,107.5,-9.3,177.7,-1.25,1.15,-0.1
423,Hiram Fuller,78.5,-0.4,0.3,-0.1,1.5,-0.5,0.4,-0.1
424,Desmond Penigar,162,-0.2,0,-0.2,3.1,-0.1,0,-0.1
425,Desmond Ferguson,51.5,-0.2,0.1,-0.1,1,-0.3,0.2,-0.1
426,Joe Courtney,199,0.9,-1.1,-0.2,3.8,0.47,-0.57,-0.1
427,Courtney Lee,24533.5,103.8,-130.5,-24.8,465.9,0.42,-0.53,-0.1
428,Olumide Oyedeji,1102.5,-1.6,0.5,-1.2,20.9,-0.15,0.04,-0.1
429,Calbert Cheaney,30049.9,-1.5,-31.4,-31.5,569.5,0,-0.1,-0.1
430,Joey Dorsey,1197.5,-6.8,5.4,-1.3,22.7,-0.57,0.45,-0.11
431,Matt Geiger,13184.6,27,-40.7,-14,249.7,0.2,-0.31,-0.11
432,David Harrison,5183,-81.3,74.2,-5.5,98.1,-1.57,1.43,-0.11
433,Raef LaFrentz,30046.7,-122.6,85.4,-33.7,567.2,-0.41,0.28,-0.11
434,Makhtar N'Diaye,48.4,0.1,-0.2,-0.1,0.9,0.26,-0.38,-0.12
435,Terry Cummings,7243.6,42.4,-51,-8.7,136.1,0.59,-0.7,-0.12
436,Corey Brewer,26339,-53.6,16.8,-32.4,494.4,-0.2,0.06,-0.12
437,Matt Fish,15.5,0,0,0,0.3,-0.18,0.05,-0.13
438,Darrin Hancock,357.5,-1.9,1.4,-0.5,6.7,-0.53,0.4,-0.13
439,Jeremy Lin,12937.5,-89.6,71.8,-17.7,241.1,-0.69,0.56,-0.14
440,Chris Wilcox,23748.5,-40,5.4,-32.8,442.2,-0.17,0.02,-0.14
441,Matt Steigenga,20.3,0,0,0,0.4,-0.07,-0.07,-0.14
442,Cuonzo Martin,29.7,0,0,0,0.6,-0.07,-0.07,-0.14
443,Jamie Watson,651.7,-1.5,0.5,-0.9,12.1,-0.23,0.08,-0.15
444,Drew Barry,1231.4,3.1,-4.9,-1.8,22.8,0.25,-0.4,-0.15
445,Greivis Vasquez,14198.5,61.4,-79.2,-20.9,263.1,0.43,-0.56,-0.15
446,Damon Jones,27942.5,279.5,-317.6,-42,516.8,1,-1.14,-0.15
447,Stephon Marbury,63548.1,982.9,-1079.7,-98.2,1172.7,1.55,-1.7,-0.15
448,Tony Smith,2794.3,18.1,-22.7,-4.4,51.5,0.65,-0.81,-0.16
449,Michael Finley,74193.7,622.1,-741.7,-116.9,1367,0.84,-1,-0.16
450,Kerry Kittles,36380.2,137.2,-188.8,-58.2,669.5,0.38,-0.52,-0.16
451,Antonio Lang,1790.2,-16.9,14.1,-3,32.8,-0.95,0.79,-0.17
452,Brandan Wright,8993,24.1,-36.9,-15.1,164.8,0.27,-0.41,-0.17
453,Vin Baker,32856.4,215.4,-268.3,-55.7,601.4,0.66,-0.82,-0.17
454,Lucious Harris,24589,-60.7,22.4,-42.4,449.4,-0.25,0.09,-0.17
455,Carlos Boozer,54073.5,802.3,-887.4,-93.8,987.6,1.48,-1.64,-0.17
456,Erick Dampier,48074.5,-669.7,582.5,-83.7,877.8,-1.39,1.21,-0.17
457,Billy Owens,13550.6,-83.8,60.1,-23.6,247.4,-0.62,0.44,-0.17
458,Charles Oakley,29624.7,-392.7,345.3,-53.5,539,-1.33,1.17,-0.18
459,Eddie Griffin,12449.5,-84.7,68.1,-22.8,226.2,-0.68,0.55,-0.18
460,Cuttino Mobley,54277,128.4,-216.2,-99.9,985.7,0.24,-0.4,-0.18
461,Casey Jacobsen,10311.5,-53.3,34,-19.1,187.1,-0.52,0.33,-0.19
462,Stephen Howard,959.2,-0.6,-1.2,-1.8,17.4,-0.06,-0.13,-0.19
463,Horace Jenkins,193,-1.5,1.2,-0.4,3.5,-0.79,0.61,-0.2
464,Eddie Basden,273.5,-2.7,2.2,-0.5,4.9,-0.98,0.82,-0.2
465,Reggie Bullock,1098,-9.9,7.7,-2.2,19.8,-0.9,0.7,-0.2
466,Robbie Hummel,1379,-9.7,5.5,-2.8,24.8,-0.7,0.4,-0.2
467,Ryan Kelly,3135,12.5,-18.8,-6.3,56.4,0.4,-0.6,-0.2
468,Antonis Fotsis,608,-3.7,3,-1.2,10.9,-0.6,0.5,-0.2
469,Pablo Prigioni,5457,-9.3,-5.2,-11,98.2,-0.17,-0.1,-0.2
470,Stephen Jackson,57734,299.2,-427.9,-119.4,1035.3,0.52,-0.74,-0.21
471,Johnny Taylor,1680.4,3.4,-6.9,-3.5,30.1,0.2,-0.41,-0.21
472,Elmer Bennett,161.1,-0.1,-0.3,-0.3,2.9,-0.04,-0.17,-0.21
473,Kedrick Brown,3678.5,-10,2.2,-7.8,65.8,-0.27,0.06,-0.21
474,Tim Thomas,43857.5,39.5,-131.6,-95.7,781.4,0.09,-0.3,-0.22
475,Ronnie Brewer,23952.5,-425.1,376.4,-52.4,426.6,-1.77,1.57,-0.22
476,Mike Miller,53895.5,318.7,-429,-118.9,959,0.59,-0.8,-0.22
477,Ervin Johnson,29561.8,-163.1,98.4,-65.3,526,-0.55,0.33,-0.22
478,Rudy Gay,42897,27.5,-112.2,-94.7,763.2,0.06,-0.26,-0.22
479,Mehmet Okur,37909,396.2,-475.3,-84.4,673.8,1.05,-1.25,-0.22
480,Tyus Edney,4568.5,-17.6,7.9,-10.2,81.2,-0.39,0.17,-0.22
481,Mike Sweetney,7161,-56.8,38.1,-16.1,127.1,-0.79,0.53,-0.23
482,Lavor Postell,834,-4.4,2.2,-1.9,14.8,-0.53,0.26,-0.23
483,Shandon Anderson,32701.7,61.7,-139.3,-77.8,576.2,0.19,-0.43,-0.24
484,Kosta Koufos,11250.5,-83.1,58.7,-26.8,198.2,-0.74,0.52,-0.24
485,Cartier Martin,6679,-32.2,17.9,-16,117.6,-0.48,0.27,-0.24
486,Avery Johnson,27383.5,-25.2,-39.4,-66,481.7,-0.09,-0.14,-0.24
487,Don Reid,8583.9,-72.6,55.2,-20.8,150.9,-0.85,0.64,-0.24
488,Chris Jent,20.9,0.1,-0.1,-0.1,0.4,0.32,-0.58,-0.26
489,Anthony Morrow,17826,110,-157,-46.4,310.1,0.62,-0.88,-0.26
490,Corliss Williamson,37348.2,42.2,-138.7,-98,648.9,0.11,-0.37,-0.26
491,Sherman Douglas,12143.8,29.2,-61.7,-32.5,210.4,0.24,-0.51,-0.27
492,Robert Werdann,64.2,0,-0.2,-0.2,1.1,0.07,-0.34,-0.27
493,Dontonio Wingfield,1135.9,-4.2,1.1,-3.1,19.6,-0.37,0.1,-0.27
494,Mark Price,6539.4,70.5,-88.4,-17.9,112.9,1.08,-1.35,-0.27
495,Chris Duhon,31166,-253.5,169.5,-86.3,537,-0.81,0.54,-0.28
496,Mike James,27499.5,-8.2,-68.3,-76.2,473.8,-0.03,-0.25,-0.28
497,Keyon Dooling,27416.5,-110.2,33.1,-76,472.3,-0.4,0.12,-0.28
498,Lazaro Borrell,384.3,3.5,-4.5,-1.1,6.6,0.91,-1.18,-0.28
499,Bernard Robinson,3764,9.4,-19.8,-10.6,64.7,0.25,-0.53,-0.28
500,Mikki Moore,20630.5,110.8,-165.2,-58,354.6,0.54,-0.8,-0.28
501,David Andersen,2420,-7.5,-0.3,-6.9,41.5,-0.31,-0.01,-0.28
502,Latrell Sprewell,48242,216.9,-362.4,-139.6,825.3,0.45,-0.75,-0.29
503,Jimmy Carruth,39.6,-0.2,0,-0.1,0.7,-0.4,0.11,-0.29
504,Sarunas Marciulionis,518.7,-5.9,4.4,-1.5,8.9,-1.13,0.84,-0.29
505,Kirk Hinrich,51319,-498.3,343.6,-149.3,877,-0.97,0.67,-0.29
506,Chris Owens,11.5,0,0,0,0.2,0,-0.29,-0.3
507,Maurice Baker,32.5,-0.1,0,-0.1,0.6,-0.31,-0.1,-0.3
508,Nate Huffman,152,0.3,-0.8,-0.5,2.6,0.2,-0.5,-0.3
509,Mark Jones,225.5,0.2,-0.9,-0.7,3.8,0.1,-0.4,-0.3
510,Dewayne Dedmon,616,-3.1,1.2,-1.8,10.5,-0.5,0.2,-0.3
511,Luigi Datome,729,-4.4,2.9,-2.2,12.4,-0.6,0.4,-0.3
512,Brandon Hunter,1253,-1.4,-2.3,-3.8,21.3,-0.11,-0.18,-0.3
513,C.J. McCollum,1349,2.7,-6.7,-4,22.9,0.2,-0.5,-0.3
514,Jerome Beasley,11,0,0,0,0.2,-0.3,-0.1,-0.3
515,Corey Beck,1778.3,-9.5,4.1,-5.4,30.2,-0.53,0.23,-0.3
516,Jeff Teague,20025.5,-12.7,-45.4,-60.6,339.9,-0.06,-0.23,-0.3
517,Mark Hendrickson,3019.6,5,-14.1,-9.1,51.3,0.17,-0.47,-0.3
518,Desmond Mason,38347.5,63.4,-178.3,-116.1,650.8,0.17,-0.47,-0.3
519,Alexis Ajinca,3318.5,-22.4,12.2,-10.2,56.2,-0.68,0.37,-0.31
520,Richie Frahm,2799,2.5,-11.1,-8.7,47.3,0.09,-0.4,-0.31
521,Wang Zhizhi,2534,5.8,-13.7,-8,42.7,0.23,-0.54,-0.32
522,Glenn Robinson,39032.2,385.4,-517,-123.2,657.4,0.99,-1.32,-0.32
523,Craig Ehlo,1640,-16.4,11,-5.2,27.6,-1,0.67,-0.32
524,Melvin Ely,11376,-54.2,18.7,-36.5,191.1,-0.48,0.16,-0.32
525,Vernon Maxwell,10769.3,-10,-24.6,-34.7,180.7,-0.09,-0.23,-0.32
526,Casey Shaw,30.3,-0.2,0.1,-0.1,0.5,-0.61,0.28,-0.33
527,Robin Lopez,18070.5,-114,56.1,-59.9,301.5,-0.63,0.31,-0.33
528,Mark West,3204.7,-58.8,47.9,-10.9,53.2,-1.83,1.5,-0.34
529,Lindsey Hunter,37619,122.9,-254.9,-127.7,624.7,0.33,-0.68,-0.34
530,Derrick Alston,21.8,0,0,-0.1,0.4,-0.2,-0.13,-0.34
531,Trevor Ariza,36680.5,-395,285.9,-126.3,607.3,-1.08,0.78,-0.34
532,Luke Schenscher,544.5,-3.3,1.4,-1.9,9,-0.61,0.26,-0.35
533,Dedric Willoughby,1008.1,5.3,-8.9,-3.5,16.6,0.53,-0.88,-0.35
534,Lance Stephenson,13024,-36.9,-8.9,-45.7,214.8,-0.28,-0.07,-0.35
535,Mike Bibby,72680.8,553.7,-810.6,-256.3,1197.3,0.76,-1.12,-0.35
536,Robert Traylor,12249.6,25.2,-64.8,-43.2,201.8,0.21,-0.53,-0.35
537,Matt Bullard,9903.3,140.8,-178,-35.2,162.9,1.42,-1.8,-0.36
538,Ansu Sesay,2526.5,-19.4,10,-9.2,41.3,-0.77,0.4,-0.36
539,Eric Piatkowski,24647.3,142.3,-235.6,-90.7,402.3,0.58,-0.96,-0.37
540,James Scott,61.7,-0.1,-0.2,-0.2,1,-0.09,-0.27,-0.37
541,Mamadou N'Diaye,1641,0.5,-6.9,-6.2,26.6,0.03,-0.42,-0.38
542,Mike Brown,212.1,0.3,-1.1,-0.8,3.4,0.14,-0.52,-0.38
543,Brooks Thompson,2443.9,40.2,-49.4,-9.4,39.5,1.65,-2.02,-0.38
544,Michael Redd,39448.5,715.8,-845.5,-152.9,636.1,1.81,-2.14,-0.39
545,Steve Blake,36812,110.5,-247.2,-143.3,592.9,0.3,-0.67,-0.39
546,Bill Curley,2052,1.5,-9.6,-8,33,0.07,-0.47,-0.39
547,Alec Burks,10459.5,-41.5,0.3,-41.3,167.9,-0.4,0,-0.39
548,Michael Dickerson,14693,-3.8,-55.1,-58.1,235.7,-0.03,-0.38,-0.4
549,Tang Hamilton,179.5,-1.1,0.4,-0.7,2.9,-0.6,0.2,-0.4
550,Geno Carlisle,30,0,-0.1,-0.1,0.5,0,-0.39,-0.4
551,Chris Babb,158,-1.4,0.9,-0.6,2.5,-0.9,0.6,-0.4
552,Lorenzo Brown,915,-11,7.3,-3.7,14.6,-1.2,0.8,-0.4
553,Travis Hansen,981,5.9,-9.9,-3.9,15.7,0.6,-1,-0.4
554,Chris Hunter,1621.5,9.7,-16.2,-6.5,25.9,0.6,-1,-0.4
555,Martynas Andriuskevicius,18.5,0,0,-0.1,0.3,-0.11,-0.26,-0.4
556,Rodney Stuckey,28015.5,3.4,-111.2,-113.5,446.8,0.01,-0.4,-0.41
557,Ben Davis,327.2,0.6,-2,-1.3,5.2,0.2,-0.6,-0.41
558,Eric Bledsoe,10528.5,-183.5,142.1,-42.8,167.8,-1.74,1.35,-0.41
559,Terry Dehere,5335.9,-36.7,14.3,-22.4,84.3,-0.69,0.27,-0.42
560,Hassan Whiteside,215.5,-0.9,0,-0.9,3.4,-0.41,-0.01,-0.42
561,A.J. Price,6902,-48.5,19.6,-29.1,108.9,-0.7,0.28,-0.42
562,Ndudi Ebi,155.5,-0.2,-0.6,-0.7,2.4,-0.14,-0.36,-0.43
563,Dell Demps,21.5,-0.1,0,-0.1,0.3,-0.5,0.07,-0.43
564,Jodie Meeks,19382,38.3,-115,-84.3,303.3,0.2,-0.59,-0.44
565,Corey Maggette,46226.4,127.1,-332.1,-202,722.5,0.28,-0.72,-0.44
566,Chris Quinn,5988.5,12.9,-38,-26.5,93.3,0.22,-0.63,-0.44
567,Charles O'Bannon,777.6,-3.6,0.2,-3.4,12.1,-0.47,0.03,-0.44
568,David Wesley,53756.3,-227.9,-15.2,-238.5,836.6,-0.42,-0.03,-0.44
569,Rudy Fernandez,11678.5,-71,19.9,-52.1,181.4,-0.61,0.17,-0.45
570,Beno Udrih,30819,-238.7,102.7,-139.1,477.3,-0.77,0.33,-0.45
571,Damone Brown,678,-3.1,0.2,-3.1,10.5,-0.45,0.03,-0.45
572,Fred Hoiberg,19428.6,3.5,-87.1,-87.8,300.8,0.02,-0.45,-0.45
573,Mike Wilks,4135.5,-30.3,11.4,-18.8,63.9,-0.73,0.27,-0.45
574,Emeka Okafor,35336.5,-584,431.9,-161,545.7,-1.65,1.22,-0.46
575,Andrew Lang,4765.1,-50,28.2,-21.8,73.5,-1.05,0.59,-0.46
576,Bonzi Wells,30451.8,-19.6,-122.4,-139.3,469.7,-0.06,-0.4,-0.46
577,Quentin Richardson,41583,-152.1,-29,-191.1,640.5,-0.37,-0.07,-0.46
578,Caron Butler,53385,37.5,-272.3,-245.4,822.3,0.07,-0.51,-0.46
579,Steve Scheffler,57.7,-0.2,0,-0.3,0.9,-0.39,-0.07,-0.46
580,Chris Dudley,9898.9,-188.2,142.2,-45.7,152.2,-1.9,1.44,-0.46
581,Kirk Penney,58.5,-0.3,0,-0.3,0.9,-0.46,-0.05,-0.46
582,Priest Lauderdale,1101,-4.1,-1.1,-5.1,16.9,-0.37,-0.1,-0.46
583,Keith Bogans,28686.5,-139.4,10.4,-133.1,440.7,-0.49,0.04,-0.46
584,James Posey,47294.6,-371,155.3,-219.9,726,-0.78,0.33,-0.46
585,James Thomas,506,0,-2.4,-2.4,7.7,0.01,-0.48,-0.47
586,Chris Mullin,15149,30.8,-103.7,-72.3,230.6,0.2,-0.68,-0.48
587,Luis Scola,31454.5,-229.3,82.6,-150.8,478.3,-0.73,0.26,-0.48
588,Joe Stephens,467.8,-1.8,-0.4,-2.3,7.1,-0.39,-0.09,-0.48
589,Pavel Podkolzin,47.5,-0.2,0,-0.2,0.7,-0.48,-0.02,-0.49
590,Fred Roberts,86.4,-0.3,-0.1,-0.4,1.3,-0.33,-0.16,-0.49
591,Jamaal Magloire,28822.5,-206.8,71.3,-141.3,435.1,-0.72,0.25,-0.49
592,Louis Williams,26684,145.1,-267.6,-132,401.7,0.54,-1,-0.49
593,Tim Kempton,204.6,-2.1,1.1,-1,3.1,-1.05,0.56,-0.5
594,Leon Smith,202,-0.4,-0.6,-1,3,-0.2,-0.29,-0.5
595,Mark Madsen,10849,-61.4,6.7,-54.1,162.9,-0.57,0.06,-0.5
596,Arvydas Macijauskas,240.5,-1.5,0.2,-1.2,3.6,-0.61,0.1,-0.5
597,Alex Scales,0.5,0,0,0,0,0,-0.4,-0.5
598,Andy Panko,0.5,0,0,0,0,0,-0.6,-0.5
599,Chris Smith,8,0,0,0,0.1,-0.5,0,-0.5
600,Yuta Tabuse,38.5,-0.1,-0.1,-0.2,0.6,-0.29,-0.21,-0.5
601,Troy Bell,73.5,-0.2,-0.2,-0.4,1.1,-0.29,-0.2,-0.5
602,Mason Plumlee,2878,17.3,-31.7,-14.4,43.2,0.6,-1.1,-0.5
603,Slavko Vranes,3.5,0,0,0,0.1,-0.23,-0.26,-0.5
604,Donatas Motiejunas,3223,-18.7,2.5,-16.2,48.3,-0.58,0.08,-0.5
605,Thurl Bailey,1228,-11.2,4.9,-6.3,18.3,-0.91,0.4,-0.51
606,Kyrie Irving,14696.5,248.5,-323.9,-75.3,218.6,1.69,-2.2,-0.51
607,Andre Barrett,1566.5,0.1,-8.4,-8.3,23,0,-0.53,-0.53
608,Obinna Ekezie,2847.3,-10.1,-5.1,-15.2,41.8,-0.35,-0.18,-0.53
609,Smush Parker,14440.5,-58.8,-17.4,-77,211.8,-0.41,-0.12,-0.53
610,Vincent Askew,2498.3,-20.8,7.5,-13.3,36.6,-0.83,0.3,-0.53
611,Sarunas Jasikevicius,5011.5,-100.2,72.7,-27,73.2,-2,1.45,-0.54
612,Miles Simon,36.8,-0.2,0,-0.2,0.5,-0.44,-0.1,-0.54
613,Johnny Newman,18693.4,-34,-66.8,-100.9,272.9,-0.18,-0.36,-0.54
614,Eric Riley,1693.9,-8.2,-0.9,-9.2,24.7,-0.49,-0.05,-0.54
615,Richard Jefferson,64979,-44.4,-278.3,-353,946.6,-0.07,-0.43,-0.54
616,Julian Wright,6038,-45.3,10.8,-33,87.8,-0.75,0.18,-0.55
617,C.J. Watson,19804,-112,7.4,-108.9,287.2,-0.57,0.04,-0.55
618,Jason Maxiell,21354.5,-82.2,-31.3,-117.7,309.4,-0.38,-0.15,-0.55
619,Laron Profit,3003.5,-8,-8.5,-16.6,43.5,-0.27,-0.28,-0.55
620,Leon Powe,6780.5,-88,53.3,-37.5,98.1,-1.3,0.79,-0.55
621,Gordan Giricek,17892.5,-71.6,-22.4,-100.3,257.6,-0.4,-0.13,-0.56
622,Pepe Sanchez,360.5,-0.7,-1.3,-2,5.2,-0.2,-0.36,-0.56
623,Keith Van Horn,37947.5,78.8,-296.7,-213.8,545.2,0.21,-0.78,-0.56
624,Hamed Haddadi,2069.5,-18.1,6.3,-11.8,29.6,-0.88,0.31,-0.57
625,Andre Drummond,9657,39.1,-86.4,-55,138.1,0.4,-0.89,-0.57
626,Luke Walton,21045.5,-142.8,23.1,-120.2,300.7,-0.68,0.11,-0.57
627,Soumaila Samake,572.5,0.6,-3.7,-3.3,8.2,0.1,-0.64,-0.58
628,Raja Bell,41689.5,-120.5,-112.8,-240.4,593.4,-0.29,-0.27,-0.58
629,Ramon Sessions,25675.5,102.9,-244,-149,364.5,0.4,-0.95,-0.58
630,Ben Handlogten,845.5,3.1,-8,-4.9,12,0.36,-0.94,-0.58
631,Steve Goodrich,320.5,-0.6,-1.3,-1.9,4.5,-0.18,-0.4,-0.58
