name,hgt,stre,spd,jmp,endu,ins,dnk,ft,fg,tp,diq,oiq,drb,pss,reb,ovr,new_ovr,diff,hgt_auto,stre_auto,spd_auto,jmp_auto,endu_auto,ins_auto,dnk_auto,ft_auto,fg_auto,tp_auto,diq_auto,oiq_auto,drb_auto,pss_auto,reb_auto,ovr_auto,new_ovr_auto,diff_auto,AUTOdiff
Chandler Hutchison,48,36,56,51,34,29,59,44,48,55,26,44,55,50,27,44.509479999999996,46.60679219618628,2.09731219618628,48,36,56,51,34,29,59,44,48,55,26,44,55,50,27,44.509479999999996,46.60679219618628,2.09731219618628,0.0
Chandler Parsons,56,37,46,40,27,32,51,60,54,65,26,45,38,46,45,43.60598,44.93297441566174,1.326994415661737,56,37,46,40,27,32,51,60,54,65,26,45,38,46,45,43.60598,44.93297441566174,1.326994415661737,0.0
Charles Bassey,63,65,40,46,26,50,25,25,18,0,42,32,35,30,62,39.912580000000005,40.34461558477394,0.432035584773935,63,65,40,46,26,50,25,25,18,0,42,32,35,30,62,39.912580000000005,40.34461558477394,0.432035584773935,0.0
Charles Brown,48,25,55,56,39,26,58,23,55,47,29,42,40,34,23,41.39538,42.143032395878215,0.7476523958782124,48,25,55,56,39,26,58,23,55,47,29,42,40,34,23,41.39538,42.143032395878215,0.7476523958782124,0.0
Charles Cooke,42,26,53,52,29,28,57,25,61,55,27,39,56,52,29,41.51788,43.149395829443634,1.6315158294436358,42,26,53,52,29,28,57,25,61,55,27,39,56,52,29,41.51788,43.149395829443634,1.6315158294436358,0.0
Chasson Randle,27,28,62,47,35,24,53,65,46,62,29,35,65,60,24,42.283879999999996,45.140903380304216,2.85702338030422,27,28,62,47,35,24,53,65,46,62,29,35,65,60,24,42.283879999999996,45.140903380304216,2.85702338030422,0.0
Cheick Diallo,60,68,50,54,38,68,64,57,28,0,63,55,32,38,70,50.95068,48.65920894415854,-2.2914710558414555,60,68,50,54,38,68,64,57,28,0,63,55,32,38,70,50.95068,48.65920894415854,-2.2914710558414555,0.0
Chet Holmgren,64,44,54,41,34,63,67,11,34,40,53,47,47,44,60,49.85868,49.98664470007215,0.12796470007214822,64,44,54,41,34,63,67,11,34,40,53,47,47,44,60,49.85868,49.98664470007215,0.12796470007214822,0.0
Chimezie Metu,61,60,43,46,27,61,58,55,29,0,54,53,25,32,68,45.73168,43.59874634521056,-2.13293365478944,61,60,43,46,27,61,58,55,29,0,54,53,25,32,68,45.73168,43.59874634521056,-2.13293365478944,0.0
Chinanu Onuaku,61,70,35,42,34,57,59,54,37,0,64,34,43,45,67,46.72208,43.576671014000574,-3.145408985999424,61,70,35,42,34,57,59,54,37,0,64,34,43,45,67,46.72208,43.576671014000574,-3.145408985999424,0.0
Chris Boucher,61,43,52,70,34,60,58,20,39,30,50,45,35,44,71,48.40658,49.619116265974256,1.2125362659742578,61,43,52,70,34,60,58,20,39,30,50,45,35,44,71,48.40658,49.619116265974256,1.2125362659742578,0.0
Chris Chiozza,23,28,61,34,43,25,51,50,49,59,34,35,50,58,48,40.85808,42.12148459094055,1.2634045909405458,23,28,61,34,43,25,51,50,49,59,34,35,50,58,48,40.85808,42.12148459094055,1.2634045909405458,0.0
Chris Clemons,0,22,65,66,34,45,71,65,57,68,28,55,59,39,33,41.05947999999999,43.34968221066926,2.290202210669264,0,22,65,66,34,45,71,65,57,68,28,55,59,39,33,41.05947999999999,43.34968221066926,2.290202210669264,0.0
Chris Paul,23,46,66,57,62,52,70,61,72,60,53,61,71,63,75,54.95188,53.73450660034799,-1.2173733996520113,23,46,66,57,62,52,70,61,72,60,53,61,71,63,75,54.95188,53.73450660034799,-1.2173733996520113,0.0
Chris Silva,52,65,43,48,39,73,65,50,31,15,49,47,33,38,71,46.18998,45.00853800651318,-1.1814419934868212,52,65,43,48,39,73,65,50,31,15,49,47,33,38,71,46.18998,45.00853800651318,-1.1814419934868212,0.0
Christian Wood,60,52,38,37,28,38,32,52,43,36,44,50,28,8,75,42.36988,40.77186352675086,-1.5980164732491389,60,52,38,37,28,38,32,52,43,36,44,50,28,8,75,42.36988,40.77186352675086,-1.5980164732491389,0.0
Chuma Okeke,52,58,50,54,33,64,62,25,32,35,42,35,38,43,52,44.89768,46.367882398351945,1.4702023983519439,52,58,50,54,33,64,62,25,32,35,42,35,38,43,52,44.89768,46.367882398351945,1.4702023983519439,0.0
Clint Capela,72,83,60,88,68,83,84,26,45,3,40,58,24,15,94,54.49078,54.50622251988536,0.015442519885361605,72,83,60,88,68,83,84,26,45,3,40,58,24,15,94,54.49078,54.50622251988536,0.015442519885361605,0.0
Coby White,40,39,63,58,48,53,65,60,65,60,38,53,62,44,54,50.31958,51.09216990054967,0.7725899005496686,40,39,63,58,48,53,65,60,65,60,38,53,62,44,54,50.31958,51.09216990054967,0.7725899005496686,0.0
Cody Demps,37,30,58,52,35,25,50,55,49,38,34,55,61,57,33,44.92768,45.44664724265433,0.5189672426543268,37,30,58,52,35,25,50,55,49,38,34,55,61,57,33,44.92768,45.44664724265433,0.5189672426543268,0.0
Cody Martin,52,54,47,85,40,31,84,53,61,21,42,46,12,22,61,45.01088,44.08780878737557,-0.9230712126244285,52,54,47,85,40,31,84,53,61,21,42,46,12,22,61,45.01088,44.08780878737557,-0.9230712126244285,0.0
Cody Zeller,67,45,55,41,42,58,60,55,50,38,41,50,53,49,77,51.00738,51.34424591485105,0.3368659148510531,67,45,55,41,42,58,60,55,50,38,41,50,53,49,77,51.00738,51.34424591485105,0.3368659148510531,0.0
Cole Anthony,33,35,60,60,25,53,63,37,59,54,50,53,55,41,56,47.48678,48.003768899160235,0.516988899160232,33,35,60,60,25,53,63,37,59,54,50,53,55,41,56,47.48678,48.003768899160235,0.516988899160232,0.0
Collin Sexton,29,31,68,63,59,49,86,62,78,61,30,45,65,40,57,47.93038,49.12424723529969,1.1938672352996917,29,31,68,63,59,49,86,62,78,61,30,45,65,40,57,47.93038,49.12424723529969,1.1938672352996917,0.0
Corey Brewer,56,55,56,60,38,37,58,57,50,50,48,45,36,45,35,50.24138,50.2898179045811,0.048437904581099644,56,55,56,60,38,37,58,57,50,50,48,45,36,45,35,50.24138,50.2898179045811,0.048437904581099644,0.0
Corey Kispert,44,58,51,50,29,55,53,70,42,36,40,38,35,35,50,43.39068,44.07293714159529,0.6822571415952865,44,58,51,50,29,55,53,70,42,36,40,38,35,35,50,43.39068,44.07293714159529,0.6822571415952865,0.0
Cory Joseph,32,33,61,54,50,30,69,53,65,53,57,56,74,45,51,51.59278,49.808412817216286,-1.7843671827837113,32,33,61,54,50,30,69,53,65,53,57,56,74,45,51,51.59278,49.808412817216286,-1.7843671827837113,0.0
Courtney Lee,41,45,55,45,47,20,54,67,60,52,52,50,43,22,27,47.08678,44.23831894874777,-2.8484610512522295,41,45,55,45,47,20,54,67,60,52,52,50,43,22,27,47.08678,44.23831894874777,-2.8484610512522295,0.0
Courtney Ramey,33,22,59,47,38,28,53,25,51,53,30,34,62,55,30,40.83028,42.835365272487536,2.005085272487534,33,22,59,47,38,28,53,25,51,53,30,34,62,55,30,40.83028,42.835365272487536,2.005085272487534,0.0
Cristiano Felicio,58,78,38,49,44,85,65,35,33,0,44,52,22,28,70,45.27628,42.8020047802918,-2.474275219708197,58,78,38,49,44,85,65,35,33,0,44,52,22,28,70,45.27628,42.8020047802918,-2.474275219708197,0.0
D'Angelo Russell,41,41,62,66,58,67,85,58,83,71,42,63,68,65,52,56.83958,56.411180650275895,-0.42839934972410276,41,41,62,66,58,67,85,58,83,71,42,63,68,65,52,56.83958,56.411180650275895,-0.42839934972410276,0.0
D.J. Augustin,23,29,61,45,45,43,68,68,67,51,31,51,66,50,64,44.55798,44.99575873934167,0.4377787393416668,23,29,61,45,45,43,68,68,67,51,31,51,66,50,64,44.55798,44.99575873934167,0.4377787393416668,0.0
D.J. Stephens,41,42,61,71,34,31,55,45,40,47,34,28,50,47,58,43.74088,47.99502629917146,4.25414629917146,41,42,61,71,34,31,55,45,40,47,34,28,50,47,58,43.74088,47.99502629917146,4.25414629917146,0.0
D.J. Wilson,61,60,50,60,45,60,61,55,46,40,42,47,43,42,62,50.50748,50.9623424143743,0.454862414374297,61,60,50,60,45,60,61,55,46,40,42,47,43,42,62,50.50748,50.9623424143743,0.454862414374297,0.0
DaQuan Jeffries,43,46,57,44,33,26,53,63,34,49,40,33,52,52,43,44.66308,46.68928158286588,2.0262015828658804,43,46,57,44,33,26,53,63,34,49,40,33,52,52,43,44.66308,46.68928158286588,2.0262015828658804,0.0
Daejon Davis,33,26,50,44,29,28,52,50,58,40,33,39,52,68,22,40.19288,40.208516974644034,0.01563697464403191,33,26,50,44,29,28,52,50,58,40,33,39,52,68,22,40.19288,40.208516974644034,0.01563697464403191,0.0
Dairis Bertans,36,41,50,44,40,43,47,63,34,71,26,52,50,52,21,44.34578,46.14526133310514,1.7994813331051418,36,41,50,44,40,43,47,63,34,71,26,52,50,52,21,44.34578,46.14526133310514,1.7994813331051418,0.0
Dakari Johnson,68,72,30,34,34,63,77,39,29,0,48,49,19,20,70,43.68988,40.19334486831089,-3.4965351316891145,68,72,30,34,34,63,77,39,29,0,48,49,19,20,70,43.68988,40.19334486831089,-3.4965351316891145,0.0
Dalibor Ilic,58,32,50,51,34,50,63,2,52,51,34,37,34,45,51,43.362880000000004,44.74252388792787,1.3796438879278625,58,32,50,51,34,50,63,2,52,51,34,37,34,45,51,43.362880000000004,44.74252388792787,1.3796438879278625,0.0
Damian Jones,68,66,50,57,33,68,60,54,33,30,50,37,42,30,66,49.55028,50.61641706356198,1.0661370635619818,68,66,50,57,33,68,60,54,33,30,50,37,42,30,66,49.55028,50.61641706356198,1.0661370635619818,0.0
Damian Lillard,37,55,75,80,78,82,92,76,95,68,48,65,84,53,65,63.07338,62.39813622778731,-0.6752437722126885,37,55,75,80,78,82,92,76,95,68,48,65,84,53,65,63.07338,62.39813622778731,-0.6752437722126885,0.0
Damion Lee,45,47,53,48,35,55,59,65,54,38,39,53,54,43,54,47.04698,46.77044411933812,-0.27653588066187496,45,47,53,48,35,55,59,65,54,38,39,53,54,43,54,47.04698,46.77044411933812,-0.27653588066187496,0.0
Damyean Dotson,42,36,61,59,44,34,58,40,58,58,37,52,54,35,63,47.66588,48.83430370024928,1.1684237002492779,42,36,61,59,44,34,58,40,58,58,37,52,54,35,63,47.66588,48.83430370024928,1.1684237002492779,0.0
Daniel Gafford,64,53,53,55,23,67,60,10,34,20,50,33,36,38,65,45.52178,46.84162533712773,1.319845337127731,64,53,53,55,23,67,60,10,34,20,50,33,36,38,65,45.52178,46.84162533712773,1.319845337127731,0.0
Daniel Hamilton,48,29,54,49,32,38,57,25,45,60,38,45,37,34,25,43.46358,44.26241809373493,0.7988380937349291,48,29,54,49,32,38,57,25,45,60,38,45,37,34,25,43.46358,44.26241809373493,0.7988380937349291,0.0
Daniel Oturu,62,63,45,52,36,60,56,35,34,31,33,50,28,24,68,45.01438,45.658578895206205,0.6441988952062019,62,63,45,52,36,60,56,35,34,31,33,50,28,24,68,45.01438,45.658578895206205,0.6441988952062019,0.0
Daniel Theis,59,60,46,51,48,66,68,43,65,30,64,56,14,22,79,50.83948,46.264017025781186,-4.575462974218816,59,60,46,51,48,66,68,43,65,30,64,56,14,22,79,50.83948,46.264017025781186,-4.575462974218816,0.0
Danilo Gallinari,59,43,57,45,50,50,77,75,75,70,40,56,50,52,57,54.34618,53.58914844515101,-0.7570315548489859,59,43,57,45,50,50,77,75,75,70,40,56,50,52,57,54.34618,53.58914844515101,-0.7570315548489859,0.0
Danny Green,48,42,57,73,57,22,62,55,60,72,59,59,41,49,30,55.63228,54.10515606876043,-1.5271239312395721,48,42,57,73,57,22,62,55,60,72,59,59,41,49,30,55.63228,54.10515606876043,-1.5271239312395721,0.0
Dante Cunningham,52,60,46,49,41,49,51,40,50,57,46,59,25,27,68,48.61728,47.254819024932296,-1.3624609750677052,52,60,46,49,41,49,51,40,50,57,46,59,25,27,68,48.61728,47.254819024932296,-1.3624609750677052,0.0
Dante Exum,45,30,66,60,40,33,74,60,56,48,36,48,58,54,28,48.56588,49.944435941681135,1.3785559416811353,45,30,66,60,40,33,74,60,56,48,36,48,58,54,28,48.56588,49.944435941681135,1.3785559416811353,0.0
Danuel House,50,50,50,59,38,50,58,55,57,58,45,52,47,44,42,49.99508,49.715048119811264,-0.28003188018873715,50,50,50,59,38,50,58,55,57,58,45,52,47,44,42,49.99508,49.715048119811264,-0.28003188018873715,0.0
Dario Saric,61,45,50,44,47,64,62,68,54,60,40,63,48,48,66,53.04298,52.59358214945736,-0.44939785054263837,61,45,50,44,47,64,62,68,54,60,40,63,48,48,66,53.04298,52.59358214945736,-0.44939785054263837,0.0
Darius Bazley,55,34,59,57,28,40,48,31,28,35,34,36,32,20,60,40.99328,44.19694103845579,3.2036610384557918,55,34,59,57,28,40,48,31,28,35,34,36,32,20,60,40.99328,44.19694103845579,3.2036610384557918,0.0
Darius Garland,33,36,64,57,38,27,58,52,46,55,42,48,60,44,38,46.86408,48.253460934471796,1.3893809344717951,33,36,64,57,38,27,58,52,46,55,42,48,60,44,38,46.86408,48.253460934471796,1.3893809344717951,0.0
Darius Miller,52,33,53,51,33,28,57,72,59,70,31,44,38,37,33,45.22098,46.46577214589533,1.2447921458953317,52,33,53,51,33,28,57,72,59,70,31,44,38,37,33,45.22098,46.46577214589533,1.2447921458953317,0.0
Darius Morris,37,26,70,58,42,40,55,34,24,70,17,30,73,63,21,43.75428,50.61912978505223,6.864849785052229,37,26,70,58,42,40,55,34,24,70,17,30,73,63,21,43.75428,50.61912978505223,6.864849785052229,0.0
Daryl Macon,33,23,59,44,27,20,55,65,51,50,31,35,40,60,20,39.810379999999995,41.321891152088554,1.5115111520885591,33,23,59,44,27,20,55,65,51,50,31,35,40,60,20,39.810379999999995,41.321891152088554,1.5115111520885591,0.0
David Duke,41,38,53,51,34,37,55,38,42,30,26,46,52,52,44,41.55608,43.04089641006646,1.4848164100664576,41,38,53,51,34,37,55,38,42,30,26,46,52,52,44,41.55608,43.04089641006646,1.4848164100664576,0.0
David Nwaba,38,39,69,68,31,30,56,32,56,55,52,36,45,34,61,47.02138,49.023258319525866,2.001878319525865,38,39,69,68,31,30,56,32,56,55,52,36,45,34,61,47.02138,49.023258319525866,2.001878319525865,0.0
Davis Bertans,57,35,47,48,38,20,34,60,40,85,48,67,57,50,52,53.37338,53.77337693282315,0.3999969328231501,57,35,47,48,38,20,34,60,40,85,48,67,57,50,52,53.37338,53.77337693282315,0.3999969328231501,0.0
Davon Reed,44,26,54,57,33,26,58,55,38,41,45,47,45,25,30,43.442679999999996,43.662530887366785,0.21985088736678904,44,26,54,57,33,26,58,55,38,41,45,47,45,25,30,43.442679999999996,43.662530887366785,0.21985088736678904,0.0
De'Aaron Fox,32,46,87,80,53,53,76,50,85,50,49,63,54,61,54,57.22908,57.49892001501734,0.269840015017337,32,46,87,80,53,53,76,50,85,50,49,63,54,61,54,57.22908,57.49892001501734,0.269840015017337,0.0
De'Andre Hunter,48,47,58,56,43,63,62,55,36,61,53,42,43,43,53,50.63098,51.9622738704219,1.3312938704219022,48,47,58,56,43,63,62,55,36,61,53,42,43,43,53,50.63098,51.9622738704219,1.3312938704219022,0.0
De'Anthony Melton,30,25,61,47,27,43,48,41,61,50,42,39,58,55,28,42.70558,43.318496059685586,0.6129160596855883,30,25,61,47,27,43,48,41,61,50,42,39,58,55,28,42.70558,43.318496059685586,0.6129160596855883,0.0
DeAndre Ayton,70,68,58,52,53,90,68,48,30,25,40,68,48,50,75,56.22548,56.630417275498736,0.4049372754987388,70,68,58,52,53,90,68,48,30,25,40,68,48,50,75,56.22548,56.630417275498736,0.4049372754987388,0.0
DeAndre Jordan,75,93,48,57,49,82,72,52,22,0,32,58,60,44,99,53.90858,55.224225421043045,1.315645421043044,75,93,48,57,49,82,72,52,22,0,32,58,60,44,99,53.90858,55.224225421043045,1.315645421043044,0.0
DeAndre' Bembry,43,44,62,63,38,28,58,25,52,50,45,46,55,52,35,48.68188,49.574326179057486,0.8924461790574867,43,44,62,63,38,28,58,25,52,50,45,46,55,52,35,48.68188,49.574326179057486,0.8924461790574867,0.0
DeMar DeRozan,52,59,76,80,75,75,87,64,84,29,34,57,74,47,69,58.07558,58.358642583043036,0.28306258304303356,52,59,76,80,75,75,87,64,84,29,34,57,74,47,69,58.07558,58.358642583043036,0.28306258304303356,0.0
DeMarcus Cousins,69,78,41,47,40,74,74,49,62,47,44,60,23,62,76,54.43428,52.5224986581423,-1.9117813418577043,69,78,41,47,40,74,74,49,62,47,44,60,23,62,76,54.43428,52.5224986581423,-1.9117813418577043,0.0
DeMarre Carroll,44,62,53,49,50,52,61,53,66,72,38,65,38,41,56,51.80688,50.55935163121457,-1.2475283687854315,44,62,53,49,50,52,61,53,66,72,38,65,38,41,56,51.80688,50.55935163121457,-1.2475283687854315,0.0
DeVaughn Akoon-Purcell,44,40,50,42,26,28,57,56,27,38,42,34,47,40,42,41.48208,42.77755357256512,1.2954735725651148,44,40,50,42,26,28,57,56,27,38,42,34,47,40,42,41.48208,42.77755357256512,1.2954735725651148,0.0
Dean Wade,59,45,50,55,40,48,45,46,55,40,35,33,37,30,45,43.50938,44.14992847433983,0.6405484743398304,59,45,50,55,40,48,45,46,55,40,35,33,37,30,45,43.50938,44.14992847433983,0.6405484743398304,0.0
Dedric Lawson,52,28,46,46,25,58,65,55,31,17,36,45,29,38,63,40.10548,40.822324188130196,0.7168441881301959,52,28,46,46,25,58,65,55,31,17,36,45,29,38,63,40.10548,40.822324188130196,0.7168441881301959,0.0
Deividas Sirvydis,50,28,56,46,30,39,29,52,63,53,18,39,51,59,29,41.53748,43.904283939321175,2.366803939321173,50,28,56,46,30,39,29,52,63,53,18,39,51,59,29,41.53748,43.904283939321175,2.366803939321173,0.0
Dejounte Murray,43,33,74,70,48,39,69,54,54,31,56,53,66,57,80,54.06078,55.026076570495746,0.9652965704957452,43,33,74,70,48,39,69,54,54,31,56,53,66,57,80,54.06078,55.026076570495746,0.9652965704957452,0.0
Delon Wright,42,32,61,71,40,42,73,62,61,48,55,53,53,59,57,52.35648,52.43125020293232,0.07477020293232073,42,32,61,71,40,42,73,62,61,48,55,53,53,59,57,52.35648,52.43125020293232,0.07477020293232073,0.0
Demetrius Jackson,22,46,60,63,39,23,52,54,33,36,43,32,62,76,39,44.22128,46.605198810169604,2.383918810169604,22,46,60,63,39,23,52,54,33,36,43,32,62,76,39,44.22128,46.605198810169604,2.383918810169604,0.0
Deng Adel,48,29,53,46,40,61,55,55,27,41,53,32,33,27,29,42.99838,43.15954681215302,0.1611668121530201,48,29,53,46,40,61,55,55,27,41,53,32,33,27,29,42.99838,43.15954681215302,0.1611668121530201,0.0
Deni Avdija,56,51,40,44,28,61,55,35,58,42,32,45,52,60,58,45.34598,45.58146646097887,0.23548646097886916,56,51,40,44,28,61,55,35,58,42,32,45,52,60,58,45.34598,45.58146646097887,0.23548646097886916,0.0
Dennis Schroder,26,25,77,76,67,43,78,66,77,49,35,65,60,49,66,51.96598,52.474638779997676,0.5086587799976741,26,25,77,76,67,43,78,66,77,49,35,65,60,49,66,51.96598,52.474638779997676,0.5086587799976741,0.0
Dennis Smith,30,34,80,85,43,45,60,31,47,36,40,45,58,53,55,48.32708,52.16270853101841,3.8356285310184077,30,34,80,85,43,45,60,31,47,36,40,45,58,53,55,48.32708,52.16270853101841,3.8356285310184077,0.0
Denzel Valentine,38,34,61,58,47,21,62,47,60,75,30,40,65,60,58,47.79928,50.771861503236046,2.972581503236043,38,34,61,58,47,21,62,47,60,75,30,40,65,60,58,47.79928,50.771861503236046,2.972581503236043,0.0
Deonte Burton,40,50,59,69,26,25,57,41,44,49,31,31,36,29,48,41.31588,44.785487705871454,3.4696077058714536,40,50,59,69,26,25,57,41,44,49,31,31,36,29,48,41.31588,44.785487705871454,3.4696077058714536,0.0
Derrick Favors,64,73,37,51,46,58,57,34,37,31,52,48,57,48,84,51.83358,50.85542320933292,-0.9781567906670787,64,73,37,51,46,58,57,34,37,31,52,48,57,48,84,51.83358,50.85542320933292,-0.9781567906670787,0.0
Derrick Jones Jr.,50,45,65,91,39,59,69,66,40,26,52,45,36,35,44,50.29878,52.09468902744684,1.7959090274468394,50,45,65,91,39,59,69,66,40,26,52,45,36,35,44,50.29878,52.09468902744684,1.7959090274468394,0.0
Derrick Rose,33,45,72,67,50,75,85,69,72,48,30,60,68,55,50,52.24998,53.59918739117804,1.349207391178041,33,45,72,67,50,75,85,69,72,48,30,60,68,55,50,52.24998,53.59918739117804,1.349207391178041,0.0
Derrick Walton Jr,24,23,53,46,35,23,46,65,45,67,30,37,60,48,49,40.03658,42.585581821076204,2.549001821076203,24,23,53,46,35,23,46,65,45,67,30,37,60,48,49,40.03658,42.585581821076204,2.549001821076203,0.0
Derrick White,36,42,66,65,53,47,67,55,64,59,49,61,57,55,54,53.95668,53.68050524275164,-0.2761747572483557,36,42,66,65,53,47,67,55,64,59,49,61,57,55,54,53.95668,53.68050524275164,-0.2761747572483557,0.0
Devin Booker,45,41,73,83,79,85,93,72,93,67,29,69,49,63,45,58.98678,59.09331819805899,0.10653819805898479,45,41,73,83,79,85,93,72,93,67,29,69,49,63,45,58.98678,59.09331819805899,0.10653819805898479,0.0
Devin Harris,33,36,61,46,30,21,42,67,60,44,36,48,68,63,24,45.09568,45.41647685636696,0.320796856366961,33,36,61,46,30,21,42,67,60,44,36,48,68,63,24,45.09568,45.41647685636696,0.320796856366961,0.0
Devin Robinson,55,35,50,63,35,63,64,32,32,10,55,41,39,38,56,45.19798,44.98404621760527,-0.21393378239473293,55,35,50,63,35,63,64,32,32,10,55,41,39,38,56,45.19798,44.98404621760527,-0.21393378239473293,0.0
Devon Dotson,30,24,57,49,29,34,57,54,50,55,45,36,51,47,41,42.32288,43.39774153584747,1.0748615358474751,30,24,57,49,29,34,57,54,50,55,45,36,51,47,41,42.32288,43.39774153584747,1.0748615358474751,0.0
Devon Hall,29,15,56,48,25,23,61,55,56,55,37,42,50,50,21,40.54678,41.22200107321609,0.6752210732160933,29,15,56,48,25,23,61,55,56,55,37,42,50,50,21,40.54678,41.22200107321609,0.6752210732160933,0.0
Devontae Cacok,50,65,40,45,30,82,50,45,21,0,49,45,31,29,72,42.24358,41.14375805949276,-1.0998219405072405,50,65,40,45,30,82,50,45,21,0,49,45,31,29,72,42.24358,41.14375805949276,-1.0998219405072405,0.0
Devonte' Graham,30,42,68,57,58,60,78,55,69,67,43,57,63,65,57,53.78388,54.01545427119473,0.23157427119472374,30,42,68,57,58,60,78,55,69,67,43,57,63,65,57,53.78388,54.01545427119473,0.23157427119472374,0.0
Dewan Hernandez,63,67,32,37,37,60,66,42,60,8,33,35,29,29,55,40.44498,37.580635934796966,-2.864344065203035,63,67,32,37,37,60,66,42,60,8,33,35,29,29,55,40.44498,37.580635934796966,-2.864344065203035,0.0
Dewayne Dedmon,67,74,39,46,40,60,58,57,22,31,58,51,18,26,73,49.94648,48.21297075854762,-1.7335092414523814,67,74,39,46,40,60,58,57,22,31,58,51,18,26,73,49.94648,48.21297075854762,-1.7335092414523814,0.0
Deyonta Davis,59,65,48,48,38,53,63,35,60,0,58,52,20,26,68,46.998580000000004,42.48471572257981,-4.513864277420197,59,65,48,48,38,53,63,35,60,0,58,52,20,26,68,46.998580000000004,42.48471572257981,-4.513864277420197,0.0
Diamond Stone,63,67,30,34,36,62,51,52,40,0,40,42,30,35,74,41.66518,39.011777401293806,-2.6534025987061938,63,67,30,34,36,62,51,52,40,0,40,42,30,35,74,41.66518,39.011777401293806,-2.6534025987061938,0.0
Dillon Brooks,48,35,56,53,48,44,68,49,62,56,44,60,24,55,28,49.65958,47.830948545763285,-1.8286314542367137,48,35,56,53,48,44,68,49,62,56,44,60,24,55,28,49.65958,47.830948545763285,-1.8286314542367137,0.0
Dion Waiters,37,42,50,57,46,40,65,23,68,66,41,42,59,44,35,46.50068,46.10307441568615,-0.39760558431385107,37,42,50,57,46,40,65,23,68,66,41,42,59,44,35,46.50068,46.10307441568615,-0.39760558431385107,0.0
Domantas Sabonis,64,67,59,62,73,88,84,48,68,31,38,70,54,57,91,59.23478,57.90560217281176,-1.3291778271882393,64,67,59,62,73,88,84,48,68,31,38,70,54,57,91,59.23478,57.90560217281176,-1.3291778271882393,0.0
Donatas Motiejunas,67,67,29,33,35,67,57,62,60,50,52,50,22,29,60,48.318580000000004,44.444949387977324,-3.87363061202268,67,67,29,33,35,67,57,62,60,50,52,50,22,29,60,48.318580000000004,44.444949387977324,-3.87363061202268,0.0
Donovan Mitchell,36,48,70,83,67,79,95,60,91,64,52,67,40,55,64,59.02768,57.505913201066626,-1.5217667989333705,36,48,70,83,67,79,95,60,91,64,52,67,40,55,64,59.02768,57.505913201066626,-1.5217667989333705,0.0
Donte DiVincenzo,41,32,53,57,36,26,60,62,66,60,46,55,45,39,36,47.50748,46.34071145423644,-1.16676854576356,41,32,53,57,36,26,60,62,66,60,46,55,45,39,36,47.50748,46.34071145423644,-1.16676854576356,0.0
Donte Grantham,52,54,45,56,30,38,37,31,31,40,38,51,35,30,60,43.90488,44.86510706922812,0.9602270692281181,52,54,45,56,30,38,37,31,31,40,38,51,35,30,60,43.90488,44.86510706922812,0.9602270692281181,0.0
Dorian Finney-Smith,55,62,58,61,48,68,68,47,60,44,55,58,35,38,79,54.48328,53.207105810038584,-1.2761741899614165,55,62,58,61,48,68,68,47,60,44,55,58,35,38,79,54.48328,53.207105810038584,-1.2761741899614165,0.0
Doug McDermott,52,50,50,82,50,23,60,65,75,72,30,45,37,41,36,49.20788,50.24897700520656,1.0410970052065593,52,50,50,82,50,23,60,65,75,72,30,45,37,41,36,49.20788,50.24897700520656,1.0410970052065593,0.0
Dragan Bender,67,32,48,55,32,36,50,64,40,54,39,45,30,42,56,46.91448,48.555503155162384,1.6410231551623866,67,32,48,55,32,36,50,64,40,54,39,45,30,42,56,46.91448,48.555503155162384,1.6410231551623866,0.0
Draymond Green,52,83,63,67,72,32,55,54,42,34,57,56,56,65,65,59.31078,58.25666022322787,-1.0541197767721329,52,83,63,67,72,32,55,54,42,34,57,56,56,65,65,59.31078,58.25666022322787,-1.0541197767721329,0.0
Drew Eubanks,59,62,35,38,27,60,57,41,28,0,51,45,34,35,60,42.93908,40.51140003490989,-2.427679965090107,59,62,35,38,27,60,57,41,28,0,51,45,34,35,60,42.93908,40.51140003490989,-2.427679965090107,0.0
Duncan Robinson,52,53,55,48,44,62,66,54,64,73,48,54,50,45,49,53.55018,52.884277949341666,-0.6659020506583317,52,53,55,48,44,62,66,54,64,73,48,54,50,45,49,53.55018,52.884277949341666,-0.6659020506583317,0.0
Dusty Hannahs,33,32,65,45,28,24,54,45,54,42,15,50,72,54,35,41.54588,44.27755335471807,2.731673354718076,33,32,65,45,28,24,54,45,54,42,15,50,72,54,35,41.54588,44.27755335471807,2.731673354718076,0.0
Dwayne Bacon,45,50,61,63,35,30,55,57,55,43,45,42,54,46,53,48.47808,49.55482778645886,1.07674778645886,45,50,61,63,35,30,55,57,55,43,45,42,54,46,53,48.47808,49.55482778645886,1.07674778645886,0.0
Dwight Howard,69,83,48,57,40,81,85,8,25,10,46,54,28,40,88,51.28318,51.2696353516094,-0.013544648390599434,69,83,48,57,40,81,85,8,25,10,46,54,28,40,88,51.28318,51.2696353516094,-0.013544648390599434,0.0
Dwight Powell,63,66,50,60,46,70,66,53,51,30,44,50,33,41,67,51.02248,50.4204792321946,-0.6020007678054,63,66,50,60,46,70,66,53,51,30,44,50,33,41,67,51.02248,50.4204792321946,-0.6020007678054,0.0
